country,buyer_clean,total_transfers,rival_transfers,rival_share
England,Brighton,16,0,0
England,Wolves,21,0,0
England,arsenal,22,3,0.136363636363636
England,aston villa,25,4,0.16
England,bournemouth,10,1,0.1
England,chelsea,31,5,0.161290322580645
England,crystal palace,18,4,0.222222222222222
England,everton,21,2,0.0952380952380952
England,fulham,18,6,0.333333333333333
England,leeds,15,2,0.133333333333333
England,liverpool,14,0,0
England,man city,13,0,0
England,man utd,17,4,0.235294117647059
England,newcastle,15,5,0.333333333333333
England,nott'm forest,20,4,0.2
England,tottenham,20,1,0.05
England,west ham,24,3,0.125
France,Lens,13,0,0
France,Lille,18,0,0
France,Lyon,24,0,0
France,Marseille,21,0,0
France,Monaco,26,0,0
France,Nice,24,0,0
France,PSG,31,0,0
France,angers sco,19,8,0.421052631578947
France,fc nantes,11,2,0.181818181818182
France,r. strasbourg,16,3,0.1875
France,stade brestois,19,5,0.263157894736842
France,stade rennais,24,11,0.458333333333333
Germany,1.fc köln,11,5,0.454545454545455
Germany,Frankfurt,22,0,0
Germany,Hoffenheim,12,0,0
Germany,Leverkusen,15,0,0
Germany,Mainz,17,0,0
Germany,Mönchengladbach,13,0,0
Germany,augsburg,24,5,0.208333333333333
Germany,bayern munich,21,2,0.0952380952380952
Germany,dortmund,26,7,0.269230769230769
Germany,freiburg,15,6,0.4
Germany,leipzig,21,3,0.142857142857143
Germany,stuttgart,18,5,0.277777777777778
Germany,union berlin,23,7,0.304347826086957
Germany,werder bremen,13,1,0.0769230769230769
Germany,wolfsburg,14,1,0.0714285714285714
Italy,Parma,14,0,0
Italy,ac milan,20,3,0.15
Italy,atalanta,17,4,0.235294117647059
Italy,bologna,17,3,0.176470588235294
Italy,cagliari,10,1,0.1
Italy,fiorentina,14,7,0.5
Italy,genoa,19,2,0.105263157894737
Italy,hellas verona,21,9,0.428571428571429
Italy,inter,23,6,0.260869565217391
Italy,juventus,20,3,0.15
Italy,lazio,22,7,0.318181818181818
Italy,napoli,18,6,0.333333333333333
Italy,roma,34,10,0.294117647058824
Italy,sassuolo,30,7,0.233333333333333
Italy,torino,22,4,0.181818181818182
Italy,udinese,20,3,0.15
Spain,Alavés,16,0,0
Spain,atlético,22,4,0.181818181818182
Spain,barcelona,24,3,0.125
Spain,ca osasuna,16,12,0.75
Spain,celta de vigo,14,3,0.214285714285714
Spain,espanyol,12,4,0.333333333333333
Spain,getafe,18,8,0.444444444444444
Spain,girona,12,3,0.25
Spain,levante,11,5,0.454545454545455
Spain,rayo vallecano,13,5,0.384615384615385
Spain,rcd mallorca,17,5,0.294117647058824
Spain,real betis,24,7,0.291666666666667
Spain,real madrid,15,0,0
Spain,real sociedad,15,2,0.133333333333333
Spain,sevilla fc,28,4,0.142857142857143
Spain,valencia,21,5,0.238095238095238
Spain,villarreal,26,7,0.269230769230769
