country,season,total_moves,rival_moves,pct_rival
England,2018,2,2,100
England,2019,3,3,100
England,2020,2,2,100
England,2021,7,7,100
England,2022,3,3,100
England,2023,6,6,100
England,2024,3,3,100
France,2018,11,11,100
France,2019,8,8,100
France,2020,5,5,100
France,2021,6,6,100
France,2022,4,4,100
France,2023,3,3,100
France,2024,1,1,100
Germany,2018,6,6,100
Germany,2019,5,5,100
Germany,2020,15,15,100
Germany,2021,9,9,100
Germany,2022,13,13,100
Germany,2023,11,11,100
Germany,2024,1,1,100
Italy,2018,10,10,100
Italy,2019,12,12,100
Italy,2020,1,1,100
Italy,2021,36,36,100
Italy,2022,20,20,100
Italy,2023,13,13,100
Italy,2024,1,1,100
Spain,2018,39,39,100
Spain,2019,43,43,100
Spain,2020,41,41,100
Spain,2021,40,40,100
Spain,2022,36,36,100
Spain,2023,31,31,100
Spain,2024,18,18,100
